"generated_uid","neg_log_q","log2foldchange"
6,3.609212074557573,0.29572700125272416
26,2.2853385692581267,0.40492347892277397
30,3.4889989197595224,0.8321423902377805
33,3.0462011880774837,0.4955920745661003
39,3.453154903864694,0.39783085658239326
41,3.5091865809721887,0.4979857071900698
43,3.294864381842219,0.35116248818554247
44,3.5464577828638464,0.6593752687089643
47,3.5091865809721887,0.5682704585708347
52,3.562559144521977,1.0105477010765813
55,3.0531178396362293,0.43629620556406246
58,3.0125305718040076,2.092027070019335
59,3.318294638853447,0.835589149583587
60,3.1471864424981164,0.36832336558237344
63,3.793175903013587,0.6800925568517691
64,3.562559144521977,0.5770321805319902
66,3.1375215364935207,0.5185036138506494
71,3.269867171529793,0.3498864753173664
73,3.562559144521977,0.4012869224125649
74,3.5464577828638464,0.34355415911616355
76,3.6433327676598,0.5731278343547442
77,3.609212074557573,0.7249002667186913
84,3.5823377419375038,0.8117863696320402
101,3.4746375413252504,0.2849920596480545
109,3.5091865809721887,0.32919594701034516
111,3.1375215364935207,0.4303590800005352
129,3.1442117006773582,0.3997156917127195
133,3.562559144521977,0.34320204884212496
134,3.6433327676598,0.3890573838876608
139,3.2994495594797555,0.673807855471624
141,3.318294638853447,0.26219405767486725
142,3.6433327676598,0.393907207736684
153,3.5724820885810815,0.301455023199817
155,3.479396432714579,0.3739214406395782
156,3.453154903864694,0.6755935428639812
157,3.609212074557573,0.5019864596281864
160,3.1375215364935207,0.25274329715621985
163,3.4889989197595224,0.6373089404174075
179,3.5464577828638464,0.29907058687314214
180,3.2994495594797555,0.49410081232882713
181,3.473142127965168,0.69703102569849
204,3.5328669607918917,0.3536430700274755
205,3.793175903013587,0.36365790083181704
206,3.2994495594797555,0.6086056914091269
207,3.609212074557573,1.1073560788131642
208,3.793175903013587,1.0235829570381196
209,3.793175903013587,0.46911373875562284
210,2.5332014146283406,0.3659370190476738
232,2.127987608248437,0.3059122857117141
237,2.8894457232044584,0.328059055293989
261,2.6526111093040923,0.319931560058957
265,2.5382787089404664,0.2878685443392201
267,2.687724034444135,0.2872733964668451
268,3.0180138867255644,0.5170870797833086
273,3.1442117006773582,0.7690248975647935
280,2.9086474161147122,0.32558294397733933
291,2.994837687474367,0.37440273348030445
301,3.368616948313171,0.41013543019235255
315,3.1013779847969096,0.28921946415033006
317,2.4865846076786298,0.5639992737292315
319,2.695638903064772,0.3518211023078585
320,3.6433327676598,1.9543911625721282
327,3.5464577828638464,0.2750971412777631
329,3.050693000968206,0.39191260231743646
